url,name
https://developer.apple.com/documentation/CoreTelephony,Core Telephony
https://developer.apple.com/documentation/CoreText,Core Text
https://developer.apple.com/documentation/CoreTransferable,Core Transferable
https://developer.apple.com/documentation/CoreVideo,Core Video
https://developer.apple.com/documentation/CoreWLAN,Core WLAN
https://developer.apple.com/documentation/CoreAudioKit,CoreAudioKit
https://developer.apple.com/documentation/CreateML,Create ML
https://developer.apple.com/documentation/CreateMLComponents,Create ML Components
https://developer.apple.com/documentation/CryptoTokenKit,CryptoTokenKit
https://developer.apple.com/documentation/DarwinNotify,Darwin Notify
https://developer.apple.com/documentation/DataDetection,DataDetection
https://developer.apple.com/documentation/DeclaredAgeRange,Declared Age Range
https://developer.apple.com/documentation/DeveloperToolsSupport,Developer Tools Support
https://developer.apple.com/documentation/DeviceActivity,Device Activity
https://developer.apple.com/documentation/DeviceManagement,Device Management
https://developer.apple.com/documentation/DeviceCheck,DeviceCheck
https://developer.apple.com/documentation/DeviceDiscoveryExtension,DeviceDiscoveryExtension
https://developer.apple.com/documentation/DeviceDiscoveryUI,DeviceDiscoveryUI
https://developer.apple.com/documentation/DiskArbitration,Disk Arbitration
https://developer.apple.com/documentation/Dispatch,Dispatch
https://developer.apple.com/documentation/Distributed,Distributed
https://developer.apple.com/documentation/dnssd,dnssd
https://developer.apple.com/documentation/DockKit,DockKit
https://developer.apple.com/documentation/DriverKit,DriverKit
https://developer.apple.com/documentation/EndpointSecurity,Endpoint Security
https://developer.apple.com/documentation/EnergyKit,EnergyKit
https://developer.apple.com/documentation/EnterpriseProgramAPI,Enterprise Program API
https://developer.apple.com/documentation/EventKit,EventKit
https://developer.apple.com/documentation/EventKitUI,EventKit UI
https://developer.apple.com/documentation/ExceptionHandling,Exception Handling
https://developer.apple.com/documentation/ExecutionPolicy,Execution Policy
https://developer.apple.com/documentation/ExposureNotification,Exposure Notification
https://developer.apple.com/documentation/ExtensionFoundation,ExtensionFoundation
https://developer.apple.com/documentation/ExtensionKit,ExtensionKit
https://developer.apple.com/documentation/ExternalAccessory,External Accessory
https://developer.apple.com/documentation/ExternalPurchaseServerAPI,External Purchase Server API
https://developer.apple.com/documentation/FamilyControls,Family Controls
https://developer.apple.com/documentation/FileProvider,File Provider
https://developer.apple.com/documentation/FileProviderUI,File Provider UI
https://developer.apple.com/documentation/FinanceKit,FinanceKit
https://developer.apple.com/documentation/FinanceKitUI,FinanceKitUI
https://developer.apple.com/documentation/FinderSync,Finder Sync
https://developer.apple.com/documentation/ForceFeedback,Force Feedback
https://developer.apple.com/documentation/Foundation,Foundation
https://developer.apple.com/documentation/FoundationModels,Foundation Models
https://developer.apple.com/documentation/FoveatedStreaming,Foveated Streaming
https://developer.apple.com/documentation/FSKit,FSKit
https://developer.apple.com/documentation/GameController,Game Controller
https://developer.apple.com/documentation/GameKit,GameKit
https://developer.apple.com/documentation/GameplayKit,GameplayKit
https://developer.apple.com/documentation/GameSave,GameSave
https://developer.apple.com/documentation/GeoToolbox,GeoToolbox
https://developer.apple.com/documentation/GLKit,GLKit
https://developer.apple.com/documentation/GroupActivities,Group Activities
https://developer.apple.com/documentation/GSS,GSS
https://developer.apple.com/documentation/HealthKit,HealthKit
https://developer.apple.com/documentation/HIDDriverKit,HIDDriverKit
https://developer.apple.com/documentation/HomeKit,HomeKit
https://developer.apple.com/documentation/HTTP-Live-Streaming,HTTP Live Streaming
https://developer.apple.com/documentation/hvf,hvf
https://developer.apple.com/documentation/Hypervisor,Hypervisor
https://developer.apple.com/documentation/iAd,iAd
https://developer.apple.com/documentation/IdentityDocumentServices,IdentityDocumentServices
https://developer.apple.com/documentation/IdentityDocumentServicesUI,IdentityDocumentServicesUI
https://developer.apple.com/documentation/ImageIO,Image I/O
https://developer.apple.com/documentation/ImagePlayground,Image Playground
https://developer.apple.com/documentation/ImageCaptureCore,ImageCaptureCore
https://developer.apple.com/documentation/ImmersiveMediaSupport,Immersive Media Support
https://developer.apple.com/documentation/InputMethodKit,InputMethodKit
https://developer.apple.com/documentation/installer_js,Installer JS
https://developer.apple.com/documentation/IOBluetooth,IOBluetooth
https://developer.apple.com/documentation/IOBluetoothUI,IOBluetooth UI
https://developer.apple.com/documentation/iokit,IOKit
https://developer.apple.com/documentation/ios-ipados-release-notes,iOS &amp; iPadOS Release Notes
https://developer.apple.com/documentation/IOSurface,IOSurface
https://developer.apple.com/documentation/IOUSBHost,IOUSBHost
https://developer.apple.com/documentation/iTunesLibrary,iTunes Library
https://developer.apple.com/documentation/iWorkDocumentExportingAPI,iWork Document Exporting API
https://developer.apple.com/documentation/JavaScriptCore,JavaScriptCore
https://developer.apple.com/documentation/JournalingSuggestions,Journaling Suggestions
https://developer.apple.com/documentation/kernel,Kernel
https://developer.apple.com/documentation/LatentSemanticMapping,Latent Semantic Mapping
https://developer.apple.com/documentation/LightweightCodeRequirements,LightweightCodeRequirements
https://developer.apple.com/documentation/LinkPresentation,Link Presentation
https://developer.apple.com/documentation/LiveCommunicationKit,LiveCommunicationKit
